pot.label,census,calendar.date,rep,within.rep,density,treatment,species,researcher.inititals,number.of.plants,height.cm,number.of.leaves,final.mass.above,final.mass.below
276,1,,12,3,5,shade,Phacelia tanacetifolia,,,,,,
277,1,,1,1,10,shade,Phacelia tanacetifolia,,5,91,0,,
277,1,,1,2,10,shade,Phacelia tanacetifolia,,5,114,2,,
277,1,,1,3,10,shade,Phacelia tanacetifolia,,5,110,2,,
278,1,,2,1,10,shade,Phacelia tanacetifolia,,0,,,,
278,1,,2,2,10,shade,Phacelia tanacetifolia,,,,,,
278,1,,2,3,10,shade,Phacelia tanacetifolia,,,,,,
279,1,,3,1,10,shade,Phacelia tanacetifolia,,2,89,2,,
279,1,,3,2,10,shade,Phacelia tanacetifolia,,2,90,2,,
279,1,,3,3,10,shade,Phacelia tanacetifolia,,,,,,
280,1,,4,1,10,shade,Phacelia tanacetifolia,,0,,,,
280,1,,4,2,10,shade,Phacelia tanacetifolia,,,,,,
280,1,,4,3,10,shade,Phacelia tanacetifolia,,,,,,
281,1,,5,1,10,shade,Phacelia tanacetifolia,,1,109,2,,
281,1,,5,2,10,shade,Phacelia tanacetifolia,,,,,,
281,1,,5,3,10,shade,Phacelia tanacetifolia,,,,,,
282,1,,6,1,10,shade,Phacelia tanacetifolia,,,,,,
282,1,,6,2,10,shade,Phacelia tanacetifolia,,,,,,
282,1,,6,3,10,shade,Phacelia tanacetifolia,,,,,,
283,1,,7,1,10,shade,Phacelia tanacetifolia,,0,,,,
283,1,,7,2,10,shade,Phacelia tanacetifolia,,,,,,
283,1,,7,3,10,shade,Phacelia tanacetifolia,,,,,,
284,1,,8,1,10,shade,Phacelia tanacetifolia,,0,,,,
284,1,,8,2,10,shade,Phacelia tanacetifolia,,,,,,
284,1,,8,3,10,shade,Phacelia tanacetifolia,,,,,,
285,1,,9,1,10,shade,Phacelia tanacetifolia,,0,,,,
285,1,,9,2,10,shade,Phacelia tanacetifolia,,,,,,
285,1,,9,3,10,shade,Phacelia tanacetifolia,,,,,,
286,1,,10,1,10,shade,Phacelia tanacetifolia,,1,106,2,,
286,1,,10,2,10,shade,Phacelia tanacetifolia,,,,,,
286,1,,10,3,10,shade,Phacelia tanacetifolia,,,,,,
287,1,,11,1,10,shade,Phacelia tanacetifolia,,0,,,,
287,1,,11,2,10,shade,Phacelia tanacetifolia,,,,,,
287,1,,11,3,10,shade,Phacelia tanacetifolia,,,,,,
288,1,,12,1,10,shade,Phacelia tanacetifolia,,3,101,2,,
288,1,,12,2,10,shade,Phacelia tanacetifolia,,3,99,2,,
288,1,,12,3,10,shade,Phacelia tanacetifolia,,3,70,0,,
289,1,,1,1,20,shade,Phacelia tanacetifolia,,4,116,2,,
289,1,,1,2,20,shade,Phacelia tanacetifolia,,4,94,2,,
289,1,,1,3,20,shade,Phacelia tanacetifolia,,4,110,2,,
290,1,,2,1,20,shade,Phacelia tanacetifolia,,1,64,2,,
290,1,,2,2,20,shade,Phacelia tanacetifolia,,,,,,
290,1,,2,3,20,shade,Phacelia tanacetifolia,,,,,,
291,1,,3,1,20,shade,Phacelia tanacetifolia,,3,94,4,,
291,1,,3,2,20,shade,Phacelia tanacetifolia,,3,76,4,,
291,1,,3,3,20,shade,Phacelia tanacetifolia,,3,85,2,,
292,1,,4,1,20,shade,Phacelia tanacetifolia,,5,94,4,,
292,1,,4,2,20,shade,Phacelia tanacetifolia,,5,86,4,,
292,1,,4,3,20,shade,Phacelia tanacetifolia,,5,76,4,,
293,1,,5,1,20,shade,Phacelia tanacetifolia,,0,,,,
293,1,,5,2,20,shade,Phacelia tanacetifolia,,,,,,
293,1,,5,3,20,shade,Phacelia tanacetifolia,,,,,,
294,1,,6,1,20,shade,Phacelia tanacetifolia,,8,105,2,,
294,1,,6,2,20,shade,Phacelia tanacetifolia,,8,36,2,,
294,1,,6,3,20,shade,Phacelia tanacetifolia,,8,74,0,,
295,1,,7,1,20,shade,Phacelia tanacetifolia,,2,24,0,,
295,1,,7,2,20,shade,Phacelia tanacetifolia,,2,42,0,,
295,1,,7,3,20,shade,Phacelia tanacetifolia,,,,,,
296,1,,8,1,20,shade,Phacelia tanacetifolia,,5,88,2,,
296,1,,8,2,20,shade,Phacelia tanacetifolia,,5,78,2,,
296,1,,8,3,20,shade,Phacelia tanacetifolia,,5,70,0,,
297,1,,9,1,20,shade,Phacelia tanacetifolia,,3,84,2,,
297,1,,9,2,20,shade,Phacelia tanacetifolia,,3,93,2,,
297,1,,9,3,20,shade,Phacelia tanacetifolia,,3,85,2,,
298,1,,10,1,20,shade,Phacelia tanacetifolia,,7,81,2,,
298,1,,10,2,20,shade,Phacelia tanacetifolia,,7,68,2,,
298,1,,10,3,20,shade,Phacelia tanacetifolia,,7,73,1,,
299,1,,11,1,20,shade,Phacelia tanacetifolia,,2,91,2,,
299,1,,11,2,20,shade,Phacelia tanacetifolia,,2,41,2,,
299,1,,11,3,20,shade,Phacelia tanacetifolia,,,,,,
300,1,,12,1,20,shade,Phacelia tanacetifolia,,1,90,2,,
300,1,,12,2,20,shade,Phacelia tanacetifolia,,,,,,
300,1,,12,3,20,shade,Phacelia tanacetifolia,,,,,,
301,1,,1,1,1,shade,Plantago insularis,,1,55,6,,
302,1,,2,1,1,shade,Plantago insularis,,0,,,,
303,1,,3,1,1,shade,Plantago insularis,,1,54,5,,
304,1,,4,1,1,shade,Plantago insularis,,1,58,4,,
305,1,,5,1,1,shade,Plantago insularis,,1,54,4,,
306,1,,6,1,1,shade,Plantago insularis,,1,40,4,,
307,1,,7,1,1,shade,Plantago insularis,,1,34,2,,
308,1,,8,1,1,shade,Plantago insularis,,0,,,,
309,1,,9,1,1,shade,Plantago insularis,,1,50,2,,
310,1,,10,1,1,shade,Plantago insularis,,1,56,4,,
311,1,,11,1,1,shade,Plantago insularis,,0,,,,
312,1,,12,1,1,shade,Plantago insularis,,1,28,1,,
313,1,,1,1,2,shade,Plantago insularis,,1,50,2,,
313,1,,1,2,2,shade,Plantago insularis,,,,,,
314,1,,2,1,2,shade,Plantago insularis,,2,41,2,,
314,1,,2,2,2,shade,Plantago insularis,,2,36,4,,
315,1,,3,1,2,shade,Plantago insularis,,2,44,5,,
315,1,,3,2,2,shade,Plantago insularis,,2,10,2,,
316,1,,4,1,2,shade,Plantago insularis,,2,54,4,,
316,1,,4,2,2,shade,Plantago insularis,,2,65,5,,
