rep,dt,n,cor,sub_n
41,2018-10-24T11:11:01Z,45,0.56465177,50
42,2018-10-24T11:11:01Z,45,0.533709795,50
43,2018-10-24T11:11:01Z,45,0.212175472,50
44,2018-10-24T11:11:01Z,45,0.580269538,50
45,2018-10-24T11:11:01Z,45,0.640209361,50
46,2018-10-24T11:11:01Z,45,0.586132957,50
47,2018-10-24T11:11:01Z,45,-0.135904588,50
48,2018-10-24T11:11:01Z,45,0.615258523,50
49,2018-10-24T11:11:01Z,45,0.613459956,50
50,2018-10-24T11:11:01Z,45,0.517923741,50
51,2018-10-24T11:11:01Z,45,0.601342359,50
52,2018-10-24T11:11:01Z,45,0.598856406,50
53,2018-10-24T11:11:01Z,45,0.352270055,50
54,2018-10-24T11:11:01Z,45,0.360751266,50
55,2018-10-24T11:11:01Z,45,0.598077103,50
56,2018-10-24T11:11:01Z,45,0.247591677,50
57,2018-10-24T11:11:01Z,45,0.420978212,50
58,2018-10-24T11:11:01Z,45,0.754830772,50
59,2018-10-24T11:11:01Z,45,0.386890004,50
60,2018-10-24T11:11:01Z,45,0.493129857,50
61,2018-10-24T11:11:01Z,45,0.697041897,50
62,2018-10-24T11:11:01Z,45,0.655924894,50
63,2018-10-24T11:11:01Z,45,0.448670844,50
64,2018-10-24T11:11:01Z,45,0.68133009,50
65,2018-10-24T11:11:01Z,45,0.361591006,50
66,2018-10-24T11:11:01Z,45,0.47877017,50
67,2018-10-24T11:11:01Z,45,0.251088879,50
68,2018-10-24T11:11:01Z,45,0.516243322,50
69,2018-10-24T11:11:01Z,45,0.486026446,50
70,2018-10-24T11:11:01Z,45,0.507329494,50
71,2018-10-24T11:11:01Z,45,0.593366951,50
72,2018-10-24T11:11:01Z,45,0.526995684,50
73,2018-10-24T11:11:01Z,45,0.3064149,50
74,2018-10-24T11:11:01Z,45,0.572980954,50
75,2018-10-24T11:11:01Z,45,0.646325399,50
76,2018-10-24T11:11:01Z,45,0.449989129,50
77,2018-10-24T11:11:01Z,45,0.61505744,50
78,2018-10-24T11:11:01Z,45,0.704030058,50
79,2018-10-24T11:11:01Z,45,0.534984999,50
80,2018-10-24T11:11:01Z,45,0.623217345,50
81,2018-10-24T11:11:01Z,45,0.352124226,50
82,2018-10-24T11:11:01Z,45,0.615617872,50
83,2018-10-24T11:11:01Z,45,0.620465943,50
84,2018-10-24T11:11:01Z,45,0.59982122,50
85,2018-10-24T11:11:01Z,45,0.753350164,50
86,2018-10-24T11:11:01Z,45,0.666735135,50
87,2018-10-24T11:11:01Z,45,0.666646173,50
88,2018-10-24T11:11:01Z,45,0.584885758,50
