status,Shrub_Cov,NDVI,Slope,Elev,Aspect,Solar,value
0,0.0511836,0.241227,1.4321001,714,270,380528,0.9945315178046088
0,0.0408507,0.231758,1.82533,698,11.3099003,378818,0.9998314034694669
0,0.0388261,0.241229,2.5304899,713,278.1300049,380059,0.9955296509468194
0,0.0353785,0.241032,1.60105,714,296.5650024,380080,0.992481188257114
0,0.0186978,0.226971,1.60105,705,153.4349976,380978,0.9994105749692654
0,0,0.233492,2.5304899,703,81.8699036,379424,0.999390132907032
0,0.0137585,0.230789,2.5304899,703,315,378697,0.9991861622543905
0,0.0292822,0.233823,2.7251401,704,246.8009949,380391,0.9996097039895346
0,5.521e-4,0.242818,1.60105,708,206.5650024,381081,0.9986917462783688
0,8.195e-4,0.252337,2.0248699,712,225,381175,0.9969862286435514
0,0.0039855,0.256323,2.8624101,712,180,381665,0.9981749955830538
0,0.0547886,0.206187,4.0760598,687,232.125,380042,0.9999964304389024
0,0.0199742,0.216617,1.13226,692,288.4349976,379499,0.9999545491594986
0,0.117034,0.211284,4.5482702,689,315,376547,0.9999860617178319
0,0.0071842,0.239621,4.5202298,721,198.4349976,382131,0.9877684704697834
0,0.0378185,0.224219,6.0753298,695,310.2359924,375582,0.9998613703101766
0,0.0633739,0.226051,2.95035,697,345.9639893,377819,0.9998555803288421
0,0.0346148,0.227512,2.95035,697,255.9640045,379806,0.999924846179415
0,0.0162108,0.228483,4.65874,698,265.6010132,378978,0.9998888010734008
0,0.0404661,0.216656,2.8624101,715,270,380235,0.9920480750756625
0,0.0032705,0.225813,2.95035,704,75.9637985,379148,0.9991564262673729
0,0.0343399,0.223214,2.7251401,702,246.8009949,379892,0.9996993556952233
0,0.0297444,0.238166,3.5763299,706,233.1300049,380839,0.9995783350736531
0,8.31e-4,0.246491,1.82533,708,258.6900024,380478,0.9984110205071742
0,0.0139357,0.24052,2.0871301,708,210.9640045,381102,0.9989637076363765
0,0.0499904,0.218136,2.0871301,716,239.0359955,381006,0.9920814230642833
0,0.0455128,0.193136,2.2636399,682,288.4349976,378616,0.9999965312748699
0,0.0507849,0.203235,1.60105,688,206.5650024,380281,0.9999919115235624
0,0.0026139,0.228362,4.3187199,724,204.4440002,382256,0.9692662261751067
0,0.0204945,0.230656,2.0248699,737,225,382052,0.38406178648024647
0,0.0148098,0.238375,4.3480902,737,170.5379944,382707,0.6028034393540674
0,0.0516464,0.221505,4.0760598,692,307.875,377246,0.9999567693412804
0,0.0542974,0.227033,2.2636399,695,341.5650024,378225,0.999909782374318
0,0.0099024,0.239881,3.64697,736,168.6900024,382383,0.5831339782260605
0,0.0036886,0.236598,1.82533,736,168.6900024,381947,0.4034573792192951
