FID,uniID,SumAllYr,Sum2018,Sum2017,Sum2016,x_utm,y_utm,x_wgs,y_wgs,Aspect,Slope,Elev,KDF,Shrub_Cov,NDVI,Solar
65,62957,0,0,0,0,261101.501500000013039,3890441.450300000142306,-119.621825000000001,35.128520000000002,214.6950073,5.6437101,760.000000000000000,0.0000255,0.0204748,0.2131790,383182.000000000000000
66,39399,1,0,1,0,261381.501500000013039,3889021.450300000142306,-119.618346000000003,35.115794999999999,273.0130005,6.7814498,730.000000000000000,0.0117600,0.0004941,0.2353090,378599.000000000000000
67,46346,0,0,0,0,260881.501500000013039,3889441.450300000142306,-119.623947999999999,35.119459999999997,232.1250000,4.0760598,723.000000000000000,0.0000068,0.0136310,0.2306550,381533.000000000000000
68,40055,1,1,0,0,261221.501500000013039,3889061.450300000142306,-119.620110999999994,35.116117000000003,293.1990051,2.7251401,724.000000000000000,0.0061637,0.0009255,0.2377340,379853.000000000000000
69,36017,0,0,0,0,260141.501500000013039,3888821.450300000142306,-119.631881000000007,35.113698999999997,315.0000000,1.5189300,690.000000000000000,0.0000232,0.0046864,0.2338130,379021.000000000000000
70,47940,0,0,0,0,259561.501500000013039,3889541.450300000142306,-119.638448999999994,35.120046000000002,326.3099976,2.5805399,686.000000000000000,0.0000000,0.0032929,0.2147880,377761.000000000000000
71,41386,0,0,0,0,261281.501500000013039,3889141.450300000142306,-119.619477000000003,35.116852000000002,213.6900024,2.5805399,726.000000000000000,0.0049793,0.0591200,0.2010210,381860.000000000000000
72,37723,1,0,0,1,261061.501500000013039,3888921.450300000142306,-119.621825000000001,35.114818000000000,300.9639893,2.0871301,715.000000000000000,0.0006665,0.0199187,0.2346430,379640.000000000000000
73,48381,0,0,0,0,261741.501500000013039,3889561.450300000142306,-119.614554999999996,35.120744000000002,235.3049927,5.6437101,752.000000000000000,0.0000000,0.0320226,0.2173170,381955.000000000000000
74,52366,0,0,0,0,261761.501500000013039,3889801.450300000142306,-119.614405000000005,35.122911000000002,33.6901016,2.5805399,770.000000000000000,0.0000000,0.0000000,0.1629070,380403.000000000000000
75,58955,0,0,0,0,260741.501500000013039,3890201.450300000142306,-119.625703000000001,35.126272000000000,206.5650024,3.1996000,734.000000000000000,0.0000000,0.0087721,0.2117260,382350.000000000000000
76,31073,0,0,0,0,260861.501500000013039,3888521.450300000142306,-119.623902000000001,35.111167999999999,206.5650024,3.1996000,707.000000000000000,0.0000380,0.0012798,0.2451220,381443.000000000000000
77,46639,0,0,0,0,260101.501500000013039,3889461.450300000142306,-119.632504999999995,35.119453999999998,180.0000000,2.8624101,696.000000000000000,0.0000631,0.0258434,0.2164750,381034.000000000000000
78,35769,1,0,0,1,261821.501500000013039,3888801.450300000142306,-119.613459000000006,35.113917000000001,158.1990051,3.8510301,738.000000000000000,0.0030684,0.0040919,0.2466170,382495.000000000000000
79,49998,0,0,0,0,260881.501500000013039,3889661.450300000142306,-119.624011999999993,35.121440999999997,225.0000000,3.0357201,726.000000000000000,0.0000028,0.0696105,0.2079160,381780.000000000000000
80,59932,0,0,0,0,260361.501500000013039,3890261.450300000142306,-119.629886999999997,35.126722000000001,264.8059998,7.8609600,721.000000000000000,0.0000000,0.0120898,0.2460920,378033.000000000000000
81,47336,3,3,0,0,260761.501500000013039,3889501.450300000142306,-119.625281000000001,35.119971000000000,265.6010132,4.6587400,717.000000000000000,0.0039334,0.0241162,0.2166490,379775.000000000000000
82,51023,0,0,0,0,261461.501500000013039,3889721.450300000142306,-119.617671000000001,35.122118999999998,194.0359955,2.9503500,748.000000000000000,0.0000000,0.0556283,0.2189090,382868.000000000000000
83,55922,0,0,0,0,259841.501500000013039,3890021.450300000142306,-119.635518000000005,35.124436000000003,125.5380020,3.0775199,699.000000000000000,0.0012661,0.0137499,0.2306860,380449.000000000000000
84,36023,0,0,0,0,260261.501500000013039,3888821.450300000142306,-119.630566000000002,35.113726999999997,293.1990051,2.7251401,693.000000000000000,0.0000000,0.0015434,0.2321350,378846.000000000000000
85,35681,0,0,0,0,260061.501500000013039,3888801.450300000142306,-119.632752999999994,35.113500000000002,0.0000000,1.4321001,688.000000000000000,0.0000601,0.0053167,0.2267690,378587.000000000000000
86,40428,0,0,0,0,262041.501500000013039,3889081.450300000142306,-119.611127999999994,35.116492000000001,261.0270081,6.8552599,756.000000000000000,0.0000000,0.0354733,0.2368600,380192.000000000000000
87,36099,15,0,0,15,261781.501500000013039,3888821.450300000142306,-119.613902999999993,35.114088000000002,149.0359955,2.0871301,740.000000000000000,0.0032530,0.0002544,0.2528870,382228.000000000000000
88,63282,0,0,0,0,260961.501500000013039,3890461.450300000142306,-119.623366000000004,35.128666000000003,180.0000000,4.2891502,747.000000000000000,0.0000000,0.0375151,0.2049870,382838.000000000000000
89,42632,0,0,0,0,259641.501500000013039,3889221.450300000142306,-119.637478999999999,35.117182999999997,59.0362015,2.0871301,684.000000000000000,0.0000066,0.0095749,0.2220870,378556.000000000000000
90,34404,0,0,0,0,261081.501500000013039,3888721.450300000142306,-119.621548000000004,35.113021000000003,285.2550049,4.0760598,717.000000000000000,0.0012266,0.0108076,0.2295940,379101.000000000000000
91,55345,0,0,0,0,261581.501500000013039,3889981.450300000142306,-119.616429999999994,35.124490000000002,261.8699951,2.5304899,758.000000000000000,0.0000000,0.0252276,0.2312420,381770.000000000000000
92,42664,0,0,0,0,260281.501500000013039,3889221.450300000142306,-119.630463000000006,35.117334999999997,270.0000000,2.8624101,697.000000000000000,0.0024026,0.0091722,0.2269420,379468.000000000000000
93,52673,0,0,0,0,261261.501500000013039,3889821.450300000142306,-119.619891999999993,35.122973000000002,225.0000000,1.5189300,741.000000000000000,0.0000000,0.0200458,0.2437080,381876.000000000000000
94,33060,0,0,0,0,260761.501500000013039,3888641.450300000142306,-119.625033000000002,35.112225000000002,270.0000000,2.8624101,705.000000000000000,0.0000000,0.0516053,0.2233740,379868.000000000000000
95,30384,0,0,0,0,260361.501500000013039,3888481.450300000142306,-119.629371000000006,35.110688000000003,288.4349976,4.5202298,694.000000000000000,0.0000617,0.0429443,0.2222360,377903.000000000000000
96,43368,0,0,0,0,261081.501500000013039,3889261.450300000142306,-119.621703999999994,35.117885999999999,237.5290070,4.6587400,721.000000000000000,0.0015667,0.0006918,0.2016030,381146.000000000000000
97,38020,0,0,0,0,260361.501500000013039,3888941.450300000142306,-119.629503999999997,35.114832000000000,225.0000000,2.5304899,696.000000000000000,0.0000205,0.0001661,0.2505750,380661.000000000000000
98,51287,0,0,0,0,260101.501500000013039,3889741.450300000142306,-119.632587000000001,35.121975999999997,274.3989868,4.6587400,701.000000000000000,0.0000000,0.0023854,0.2117650,378766.000000000000000
99,62955,0,0,0,0,261061.501500000013039,3890441.450300000142306,-119.622264000000001,35.128509999999999,280.4909973,9.7381802,756.000000000000000,0.0000093,0.0128370,0.2266100,375942.000000000000000
100,34708,0,0,0,0,260521.501500000013039,3888741.450300000142306,-119.627692999999994,35.113069000000003,270.0000000,2.8624101,699.000000000000000,0.0000000,0.0854241,0.2146670,379650.000000000000000
101,46691,0,0,0,0,261141.501500000013039,3889461.450300000142306,-119.621104000000003,35.119700999999999,246.8009949,2.7251401,731.000000000000000,0.0017430,0.0029346,0.2148410,381264.000000000000000
102,53619,0,0,0,0,260261.501500000013039,3889881.450300000142306,-119.630872999999994,35.123275999999997,264.8059998,3.9490600,708.000000000000000,0.0000000,0.0029748,0.2412000,379732.000000000000000
103,45708,0,0,0,0,261401.501500000013039,3889401.450300000142306,-119.618235999999996,35.119222999999998,182.4900055,8.1878500,741.000000000000000,0.0000000,0.0022545,0.1176510,382621.000000000000000
104,42070,0,0,0,0,261681.501500000013039,3889181.450300000142306,-119.615103000000005,35.117306999999997,274.3989868,4.6587400,740.000000000000000,0.0009394,0.0186708,0.2436580,380025.000000000000000
105,37084,0,0,0,0,261561.501500000013039,3888881.450300000142306,-119.616332000000000,35.114576000000000,341.5650024,1.1322600,733.000000000000000,0.0012111,0.0127363,0.2434910,380218.000000000000000
106,43709,0,0,0,0,261261.501500000013039,3889281.450300000142306,-119.619736000000003,35.118107999999999,144.4620056,3.0775199,732.000000000000000,0.0001630,0.0026176,0.1396080,381879.000000000000000
107,47701,0,0,0,0,261421.501500000013039,3889521.450300000142306,-119.618050999999994,35.120308000000001,114.4440002,4.3187199,750.000000000000000,0.0000000,0.0255756,0.1870860,381493.000000000000000
108,47356,0,0,0,0,261161.501500000013039,3889501.450300000142306,-119.620896000000002,35.120066000000001,251.5650024,1.1322600,732.000000000000000,0.0012172,0.0850323,0.2327620,381088.000000000000000
109,41975,0,0,0,0,259781.501500000013039,3889181.450300000142306,-119.635931999999997,35.116855999999999,315.0000000,1.5189300,681.000000000000000,0.0024156,0.1067250,0.2021030,378352.000000000000000
110,43748,0,0,0,0,262041.501500000013039,3889281.450300000142306,-119.611185000000006,35.118293000000001,198.4349976,1.1322600,759.000000000000000,0.0000000,0.0376780,0.2185100,382063.000000000000000
111,46379,0,0,0,0,261541.501500000013039,3889441.450300000142306,-119.616713000000004,35.119616000000001,281.3099976,5.4612598,735.000000000000000,0.0000000,0.0003277,0.2151420,378275.000000000000000
112,38001,0,0,0,0,259981.501500000013039,3888941.450300000142306,-119.633669999999995,35.114742000000000,180.0000000,1.4321001,689.000000000000000,0.0001285,0.0075409,0.2232580,380423.000000000000000
113,55274,0,0,0,0,260161.501500000013039,3889981.450300000142306,-119.631997999999996,35.124152000000002,66.8013992,2.7251401,707.000000000000000,0.0000000,0.0111269,0.2267750,379045.000000000000000
114,30722,0,0,0,0,260481.501500000013039,3888501.450300000142306,-119.628062000000000,35.110897000000001,26.5650997,1.6010500,697.000000000000000,0.0000000,0.0052851,0.2416440,378868.000000000000000
115,48348,0,0,0,0,261081.501500000013039,3889561.450300000142306,-119.621790000000004,35.120587999999998,251.5650024,1.1322600,731.000000000000000,0.0017898,0.0891246,0.2335410,381218.000000000000000
116,57992,0,0,0,0,261401.501500000013039,3890141.450300000142306,-119.618449999999996,35.125888000000003,225.0000000,2.5304899,761.000000000000000,0.0000000,0.0025101,0.1658630,382829.000000000000000
117,32419,0,0,0,0,261221.501500000013039,3888601.450300000142306,-119.619979000000001,35.111973999999996,164.7449951,4.0760598,714.000000000000000,0.0000161,0.0257830,0.2544770,381723.000000000000000
118,55321,0,0,0,0,261101.501500000013039,3889981.450300000142306,-119.621692999999993,35.124375999999998,188.1300049,5.0511498,746.000000000000000,0.0000000,0.0002484,0.1262460,383134.000000000000000
119,46623,0,0,0,0,259781.501500000013039,3889461.450300000142306,-119.636014000000003,35.119377999999998,243.4349976,1.6010500,691.000000000000000,0.0000322,0.0000636,0.2302440,380091.000000000000000
120,38653,0,0,0,0,259741.501500000013039,3888981.450300000142306,-119.636313000000001,35.115045000000002,161.5650024,2.2636399,680.000000000000000,0.0000096,0.0120153,0.2324000,380096.000000000000000
121,42334,0,0,0,0,260321.501500000013039,3889201.450300000142306,-119.630018000000007,35.117165000000000,248.1990051,3.8510301,700.000000000000000,0.0006631,0.0011089,0.2296220,380179.000000000000000
122,57625,0,0,0,0,260701.501500000013039,3890121.450300000142306,-119.626119000000003,35.125542000000003,215.5379944,3.0775199,728.000000000000000,0.0000000,0.0265457,0.1986820,381953.000000000000000
123,37330,0,0,0,0,259841.501500000013039,3888901.450300000142306,-119.635193000000001,35.114348000000000,258.6900024,5.4612598,683.000000000000000,0.0000001,0.0050029,0.2232120,378490.000000000000000
124,57654,0,0,0,0,261281.501500000013039,3890121.450300000142306,-119.619759000000002,35.125680000000003,0.0000000,5.0006399,754.000000000000000,0.0000000,0.0016538,0.2066150,377274.000000000000000
125,36107,0,0,0,0,261941.501500000013039,3888821.450300000142306,-119.612149000000002,35.114125999999999,201.8009949,3.8510301,738.000000000000000,0.0000032,0.0000000,0.2516520,382445.000000000000000
126,38357,0,0,0,0,260461.501500000013039,3888961.450300000142306,-119.628414000000006,35.115036000000003,315.0000000,1.5189300,699.000000000000000,0.0000000,0.0002091,0.2441890,379320.000000000000000
127,35008,0,0,0,0,259881.501500000013039,3888761.450300000142306,-119.634714000000002,35.113095999999999,270.0000000,1.4321001,684.000000000000000,0.0000000,0.0040126,0.2208260,379383.000000000000000
128,33396,0,0,0,0,260841.501500000013039,3888661.450300000142306,-119.624161999999998,35.112423999999997,270.0000000,2.8624101,707.000000000000000,0.0000000,0.0579836,0.2300080,379863.000000000000000
129,60958,0,0,0,0,260961.501500000013039,3890321.450300000142306,-119.623326000000006,35.127405000000003,153.4349976,1.6010500,745.000000000000000,0.0000000,0.0153048,0.2250810,382161.000000000000000
130,42391,0,0,0,0,261461.501500000013039,3889201.450300000142306,-119.617520999999996,35.117435000000000,281.3099976,1.8253300,734.000000000000000,0.0000539,0.0625440,0.2303890,380781.000000000000000
131,62627,0,0,0,0,261141.501500000013039,3890421.450300000142306,-119.621381000000000,35.128349000000000,208.6100006,8.9016104,759.000000000000000,0.0000015,0.0108186,0.2136870,382526.000000000000000
